Continent,Country,Country_ISO3,start_date,end_date
Africa,Benin,BEN,2022-06-14,2022-06-14
Africa,Cameroon,CMR,2022-02-17,2022-07-17
Africa,Central African Republic,CAF,2022-03-04,2022-05-19
Africa,Democratic Republic Of The Congo,COD,2022-05-08,2022-07-28
Africa,Ghana,GHA,2022-06-08,2022-08-10
Africa,Liberia,LBR,2022-07-23,2022-08-08
Africa,Morocco,MAR,2022-06-02,2022-06-02
Africa,Nigeria,NGA,2022-01-31,2022-08-07
Africa,Republic of Congo,COG,2022-04-12,2022-07-31
Africa,South Africa,ZAF,2022-06-22,2022-08-17
Africa,Sudan,SDN,2022-07-31,2022-08-17
Asia,Cyprus,CYP,2022-08-02,2022-08-18
Asia,Georgia,GEO,2022-06-15,2022-08-17
Asia,India,IND,2022-07-14,2022-08-12
Asia,Iran,IRN,2022-08-16,2022-08-16
Asia,Israel,ISR,2022-05-21,2022-08-16
Asia,Japan,JPN,2022-07-25,2022-08-10
Asia,Lebanon,LBN,2022-06-20,2022-08-08
Asia,Philippines,PHL,2022-07-28,2022-08-19
Asia,Qatar,QAT,2022-07-20,2022-08-09
Asia,Saudi Arabia,SAU,2022-07-14,2022-08-17
Asia,Singapore,SGP,2022-06-20,2022-08-05
Asia,South Korea,KOR,2022-06-22,2022-06-22
Asia,Taiwan,TWN,2022-06-24,2022-08-06
Asia,Thailand,THA,2022-07-21,2022-08-14
Asia,Turkey,TUR,2022-06-30,2022-08-02
Asia,United Arab Emirates,ARE,2022-05-24,2022-07-24
Europe,Andorra,AND,2022-07-25,2022-08-08
Europe,Austria,AUT,2022-05-23,2022-08-19
Europe,Belgium,BEL,2022-05-19,2022-08-15
Europe,Bosnia And Herzegovina,BIH,2022-07-13,2022-08-02
Europe,Bulgaria,BGR,2022-06-23,2022-07-22
Europe,Croatia,HRV,2022-06-23,2022-08-17
Europe,Czech Republic,CZE,2022-05-24,2022-08-17
Europe,Denmark,DNK,2022-05-23,2022-08-19
Europe,England,GBR,2022-05-06,2022-08-15
Europe,Estonia,EST,2022-06-28,2022-08-08
Europe,Finland,FIN,2022-05-27,2022-08-04
Europe,France,FRA,2022-05-19,2022-08-18
Europe,Germany,DEU,2022-05-19,2022-08-19
Europe,Gibraltar,GIB,2022-06-01,2022-08-11
Europe,Greece,GRC,2022-06-08,2022-08-18
