Country,Date_confirmation,acc_cases,days
Austria,2022-06-17,11,0
Austria,2022-06-21,12,4
Austria,2022-06-24,20,7
Austria,2022-07-01,37,14
Austria,2022-07-08,62,21
Austria,2022-07-15,83,28
Austria,2022-07-22,99,35
Austria,2022-07-27,111,40
Austria,2022-08-01,132,45
Austria,2022-08-03,135,47
Austria,2022-08-05,160,49
Austria,2022-08-08,173,52
Austria,2022-08-09,175,53
Austria,2022-08-12,198,56
Austria,2022-08-17,216,61
Austria,2022-08-18,217,62
Austria,2022-08-19,218,63
Austria,2022-08-23,231,67
Austria,2022-08-24,234,68
Austria,2022-08-26,258,70
Belgium,2022-06-01,14,0
Belgium,2022-06-03,17,2
Belgium,2022-06-08,25,7
Belgium,2022-06-15,52,14
Belgium,2022-06-17,62,16
Belgium,2022-06-21,77,20
Belgium,2022-06-28,117,27
Belgium,2022-07-05,168,34
Belgium,2022-07-12,224,41
Belgium,2022-07-18,311,47
Belgium,2022-07-25,393,54
Belgium,2022-08-01,482,61
Belgium,2022-08-08,546,68
Belgium,2022-08-15,624,75
Belgium,2022-08-22,671,82
Brazil,2022-06-22,11,0
Brazil,2022-06-23,16,1
Brazil,2022-06-24,17,2
Brazil,2022-06-25,19,3
Brazil,2022-06-26,20,4
Brazil,2022-06-28,21,6
Brazil,2022-06-29,37,7
Brazil,2022-06-30,49,8
Brazil,2022-07-01,64,9
Brazil,2022-07-02,76,10
Brazil,2022-07-03,78,11
Brazil,2022-07-04,80,12
Brazil,2022-07-05,106,13
Brazil,2022-07-06,142,14
Brazil,2022-07-07,172,15
Brazil,2022-07-08,204,16
Brazil,2022-07-09,218,17
Brazil,2022-07-11,228,19
Brazil,2022-07-12,266,20
Brazil,2022-07-13,308,21
Brazil,2022-07-14,347,22
Brazil,2022-07-19,448,27
Brazil,2022-07-20,591,28
Brazil,2022-07-21,604,29
Brazil,2022-07-22,694,30
Brazil,2022-07-25,809,33
Brazil,2022-07-26,865,34
Brazil,2022-07-27,977,35
Brazil,2022-07-28,1066,36
Brazil,2022-07-29,1259,37
Brazil,2022-07-30,1343,38
Brazil,2022-07-31,1370,39
Brazil,2022-08-01,1475,40
Brazil,2022-08-02,1603,41
Brazil,2022-08-03,1721,42
Brazil,2022-08-04,1860,43
Brazil,2022-08-05,2004,44
Brazil,2022-08-06,2108,45
Brazil,2022-08-07,2131,46
Brazil,2022-08-08,2293,47
Brazil,2022-08-09,2415,48
Brazil,2022-08-10,2458,49
Brazil,2022-08-12,2746,51
Brazil,2022-08-13,2848,52
Brazil,2022-08-14,2893,53
Brazil,2022-08-15,2985,54
Brazil,2022-08-16,3183,55
Brazil,2022-08-17,3359,56
Brazil,2022-08-18,3450,57
Brazil,2022-08-19,3655,58
Brazil,2022-08-20,3755,59
Brazil,2022-08-21,3787,60
Brazil,2022-08-22,3896,61
Brazil,2022-08-23,3984,62
Brazil,2022-08-24,4144,63
Brazil,2022-08-25,4216,64
Brazil,2022-08-26,4472,65
Canada,2022-05-23,15,0
Canada,2022-05-26,26,3
Canada,2022-05-31,27,8
Canada,2022-06-01,54,9
Canada,2022-06-02,77,10
Canada,2022-06-03,80,11
Canada,2022-06-06,81,14
Canada,2022-06-07,101,15
Canada,2022-06-08,102,16
Canada,2022-06-09,113,17
Canada,2022-06-10,116,18
Canada,2022-06-13,124,21
Canada,2022-06-14,158,22
Canada,2022-06-16,167,24
Canada,2022-06-17,177,25
Canada,2022-06-21,210,29
Canada,2022-06-23,235,31
Canada,2022-06-27,257,35
Canada,2022-06-28,275,36
Canada,2022-06-29,287,37
Canada,2022-07-02,312,40
Canada,2022-07-04,348,42
Canada,2022-07-06,369,44
Canada,2022-07-08,374,46
Canada,2022-07-09,377,47
Canada,2022-07-11,476,49
Canada,2022-07-13,492,51
Canada,2022-07-14,529,52
Canada,2022-07-15,537,53
Canada,2022-07-18,572,56
Canada,2022-07-19,612,57
Canada,2022-07-22,679,60
Canada,2022-07-25,713,63
Canada,2022-07-26,743,64
Canada,2022-07-28,797,66
Canada,2022-07-29,801,67
Canada,2022-08-02,889,71
Canada,2022-08-03,891,72
Canada,2022-08-04,955,73
Canada,2022-08-05,956,74
Canada,2022-08-09,1007,78
Canada,2022-08-10,1010,79
Canada,2022-08-11,1058,80
Canada,2022-08-12,1059,81
Canada,2022-08-15,1077,84
Canada,2022-08-16,1091,85
Canada,2022-08-17,1111,86
Canada,2022-08-18,1125,87
Canada,2022-08-19,1170,88
Canada,2022-08-22,1180,91
Canada,2022-08-23,1204,92
Canada,2022-08-24,1205,93
Canada,2022-08-25,1224,94
Canada,2022-08-26,1228,95
Chile,2022-07-04,13,0
Chile,2022-07-08,14,4
Chile,2022-07-11,16,7
Chile,2022-07-12,18,8
Chile,2022-07-13,19,9
Chile,2022-07-14,20,10
Chile,2022-07-15,24,11
Chile,2022-07-18,26,14
Chile,2022-07-21,39,17
Chile,2022-07-26,45,22
Chile,2022-07-29,55,25
Chile,2022-08-01,68,28
Chile,2022-08-04,91,31
Chile,2022-08-09,126,36
Chile,2022-08-11,141,38
Chile,2022-08-15,189,42
Chile,2022-08-18,207,45
Chile,2022-08-22,270,49
Chile,2022-08-25,344,52
Colombia,2022-07-19,10,0
Colombia,2022-07-25,11,6
Colombia,2022-07-26,12,7
Colombia,2022-07-29,15,10
Colombia,2022-08-01,16,13
Colombia,2022-08-02,20,14
Colombia,2022-08-05,26,17
Colombia,2022-08-08,55,20
Colombia,2022-08-15,129,27
Colombia,2022-08-19,164,31
Colombia,2022-08-22,273,34
England,2022-05-20,17,0
England,2022-05-23,53,3
England,2022-05-24,67,4
England,2022-05-25,74,5
England,2022-05-26,98,6
England,2022-05-30,169,10
England,2022-05-31,180,11
England,2022-06-01,185,12
England,2022-06-02,196,13
England,2022-06-03,211,14
England,2022-06-06,284,17
England,2022-06-07,302,18
England,2022-06-09,345,20
England,2022-06-12,449,23
England,2022-06-14,501,25
England,2022-06-16,547,27
England,2022-06-20,763,31
England,2022-06-23,870,34
England,2022-06-26,1032,37
England,2022-06-30,1182,41
England,2022-07-04,1282,45
England,2022-07-07,1479,48
England,2022-07-11,1657,52
England,2022-07-14,1775,55
England,2022-07-18,2047,59
England,2022-07-21,2112,62
England,2022-07-25,2387,66
England,2022-07-28,2433,69
England,2022-08-01,2635,73
England,2022-08-04,2727,76
England,2022-08-08,2880,80
England,2022-08-15,3047,87
England,2022-08-22,3188,94
France,2022-05-28,16,0
France,2022-05-30,17,2
France,2022-06-01,33,4
France,2022-06-03,51,6
France,2022-06-04,52,7
France,2022-06-07,66,10
France,2022-06-09,91,12
France,2022-06-14,125,17
France,2022-06-16,183,19
France,2022-06-21,277,24
France,2022-06-23,330,26
France,2022-06-25,331,28
France,2022-06-28,440,31
France,2022-06-30,498,33
France,2022-07-05,577,38
France,2022-07-07,725,40
France,2022-07-12,912,45
France,2022-07-19,1438,52
France,2022-07-21,1566,54
France,2022-07-26,1834,59
France,2022-07-28,1953,61
France,2022-08-02,2237,66
France,2022-08-04,2421,68
France,2022-08-09,2598,73
France,2022-08-11,2669,75
France,2022-08-16,2744,80
France,2022-08-18,2884,82
France,2022-08-23,3416,87
Germany,2022-05-24,12,0
Germany,2022-05-25,13,1
Germany,2022-05-26,15,2
Germany,2022-05-27,21,3
Germany,2022-05-28,22,4
Germany,2022-05-30,25,6
Germany,2022-05-31,41,7
Germany,2022-06-02,58,9
Germany,2022-06-03,75,10
Germany,2022-06-04,80,11
Germany,2022-06-07,107,14
Germany,2022-06-08,120,15
Germany,2022-06-09,150,16
Germany,2022-06-10,162,17
Germany,2022-06-12,163,19
Germany,2022-06-13,188,20
Germany,2022-06-14,202,21
Germany,2022-06-15,247,22
Germany,2022-06-16,271,23
Germany,2022-06-17,358,24
Germany,2022-06-18,359,25
Germany,2022-06-20,372,27
Germany,2022-06-21,438,28
Germany,2022-06-22,492,29
Germany,2022-06-23,566,30
Germany,2022-06-24,618,31
